year,quarter,region,sector,total_funding_millions,deal_count,avg_round_size_millions,momentum_score,top_startup_example,stage_dominance
2022,1,India,Fintech,2000,110,18,92,Paytm,Late-Stage
2022,2,India,Fintech,2200,115,19,94,Paytm,Late-Stage
2022,3,India,Fintech,2100,112,19,93,Paytm,Late-Stage
2022,4,India,Fintech,2400,118,20,95,Paytm,Late-Stage
2023,1,India,Fintech,2600,120,22,96,Paytm,Late-Stage
2023,2,India,Fintech,2800,122,23,97,Paytm,Late-Stage
2023,3,India,Fintech,2700,121,22,96,Paytm,Late-Stage
2023,4,India,Fintech,3000,125,24,98,Paytm,Late-Stage
2024,1,India,Fintech,3200,128,25,98,Paytm,Late-Stage
2024,2,India,Fintech,3400,130,26,99,Paytm,Late-Stage
2024,3,India,Fintech,3300,129,26,98,Paytm,Late-Stage
2024,4,India,Fintech,3600,132,27,99,Paytm,Late-Stage
2025,1,India,Fintech,3800,135,28,99,Paytm,Late-Stage
2025,2,India,Fintech,4000,138,29,99,Paytm,Late-Stage
2025,3,India,Fintech,3900,136,29,99,Paytm,Late-Stage
2025,4,India,Fintech,4200,140,30,100,Paytm,Late-Stage
2026,1,India,Fintech,4400,142,31,100,Paytm,Late-Stage
2026,2,India,Fintech,4600,145,32,100,Paytm,Late-Stage
2026,3,India,Fintech,4500,143,31,100,Paytm,Late-Stage
2026,4,India,Fintech,4800,148,32,100,Paytm,Late-Stage
2027,1,India,Fintech,5000,150,33,100,Paytm,Late-Stage
2027,2,India,Fintech,5200,152,34,100,Paytm,Late-Stage
2027,3,India,Fintech,5100,151,34,100,Paytm,Late-Stage
2027,4,India,Fintech,5400,155,35,100,Paytm,Late-Stage
2010,1,USA,SaaS_Enterprise,400,25,16,15,Salesforce,Early-Stage
2010,2,USA,SaaS_Enterprise,420,26,16,16,Salesforce,Early-Stage
2010,3,USA,SaaS_Enterprise,380,24,16,14,Salesforce,Early-Stage
2010,4,USA,SaaS_Enterprise,450,28,16,18,Salesforce,Early-Stage
2011,1,USA,SaaS_Enterprise,500,30,17,20,Salesforce,Early-Stage
2011,2,USA,SaaS_Enterprise,550,32,17,22,Salesforce,Early-Stage
2011,3,USA,SaaS_Enterprise,520,31,17,21,Salesforce,Early-Stage
2011,4,USA,SaaS_Enterprise,600,34,18,25,Salesforce,Growth
2012,1,USA,SaaS_Enterprise,680,38,18,28,Salesforce,Growth
2012,2,USA,SaaS_Enterprise,750,40,19,30,Salesforce,Growth
2012,3,USA,SaaS_Enterprise,720,39,18,29,Salesforce,Growth
2012,4,USA,SaaS_Enterprise,800,42,19,32,Salesforce,Growth
2013,1,USA,SaaS_Enterprise,900,45,20,35,Salesforce,Growth
2013,2,USA,SaaS_Enterprise,1000,48,21,38,Salesforce,Growth
2013,3,USA,SaaS_Enterprise,950,46,21,36,Salesforce,Growth
2013,4,USA,SaaS_Enterprise,1100,50,22,40,Salesforce,Growth
2014,1,USA,SaaS_Enterprise,1200,52,23,42,Salesforce,Growth
2014,2,USA,SaaS_Enterprise,1300,55,24,44,Salesforce,Growth
2014,3,USA,SaaS_Enterprise,1250,53,24,43,Salesforce,Growth
2014,4,USA,SaaS_Enterprise,1400,58,24,46,Salesforce,Growth
2015,1,USA,SaaS_Enterprise,1500,60,25,48,Slack,Growth
2015,2,USA,SaaS_Enterprise,1600,62,26,50,Slack,Growth
2015,3,USA,SaaS_Enterprise,1550,61,25,49,Slack,Growth
2015,4,USA,SaaS_Enterprise,1700,65,26,52,Slack,Late-Stage
2016,1,USA,SaaS_Enterprise,1900,68,28,55,Slack,Late-Stage
2016,2,USA,SaaS_Enterprise,2100,70,30,58,Slack,Late-Stage
2016,3,USA,SaaS_Enterprise,2000,69,29,56,Slack,Late-Stage
2016,4,USA,SaaS_Enterprise,2300,72,32,60,Slack,Late-Stage
2017,1,USA,SaaS_Enterprise,2600,75,35,62,Slack,Late-Stage
2017,2,USA,SaaS_Enterprise,2900,78,37,65,Slack,Late-Stage
2017,3,USA,SaaS_Enterprise,2800,76,37,63,Slack,Late-Stage
2017,4,USA,SaaS_Enterprise,3200,80,40,68,Slack,Late-Stage
2018,1,USA,SaaS_Enterprise,3500,82,43,70,Slack,Late-Stage
2018,2,USA,SaaS_Enterprise,4000,85,47,72,Slack,Late-Stage
2018,3,USA,SaaS_Enterprise,3800,83,46,71,Slack,Late-Stage
2018,4,USA,SaaS_Enterprise,4500,88,51,75,Slack,Late-Stage
2019,1,USA,SaaS_Enterprise,5000,90,56,78,Slack,Late-Stage
2019,2,USA,SaaS_Enterprise,5500,92,60,80,Slack,Late-Stage
2019,3,USA,SaaS_Enterprise,5200,91,57,79,Slack,Late-Stage
2019,4,USA,SaaS_Enterprise,6000,95,63,82,Slack,Late-Stage
2020,1,USA,SaaS_Enterprise,6500,98,66,85,Slack,Late-Stage
2020,2,USA,SaaS_Enterprise,7000,100,70,88,Slack,Late-Stage
2020,3,USA,SaaS_Enterprise,6800,99,69,86,Slack,Late-Stage
2020,4,USA,SaaS_Enterprise,7500,102,74,90,Slack,Late-Stage
2021,1,USA,SaaS_Enterprise,8000,105,76,92,Slack,Late-Stage
2021,2,USA,SaaS_Enterprise,8500,108,79,94,Slack,Late-Stage
2021,3,USA,SaaS_Enterprise,8200,106,77,93,Slack,Late-Stage
2021,4,USA,SaaS_Enterprise,9000,110,82,95,Slack,Late-Stage
2022,1,USA,SaaS_Enterprise,9500,112,85,96,Slack,Late-Stage
2022,2,USA,SaaS_Enterprise,10000,115,87,97,Slack,Late-Stage
2022,3,USA,SaaS_Enterprise,9800,113,87,96,Slack,Late-Stage
2022,4,USA,SaaS_Enterprise,10500,118,89,98,Slack,Late-Stage
2023,1,USA,SaaS_Enterprise,11000,120,92,98,Slack,Late-Stage
2023,2,USA,SaaS_Enterprise,11500,122,94,98,Slack,Late-Stage
2023,3,USA,SaaS_Enterprise,11200,121,93,98,Slack,Late-Stage
2023,4,USA,SaaS_Enterprise,12000,125,96,99,Slack,Late-Stage
2024,1,USA,SaaS_Enterprise,12500,128,98,99,Slack,Late-Stage
2024,2,USA,SaaS_Enterprise,13000,130,100,99,Slack,Late-Stage
2024,3,USA,SaaS_Enterprise,12800,129,99,99,Slack,Late-Stage
2024,4,USA,SaaS_Enterprise,13500,132,102,100,Slack,Late-Stage
2025,1,USA,SaaS_Enterprise,14000,135,104,100,Slack,Late-Stage
2025,2,USA,SaaS_Enterprise,14500,138,105,100,Slack,Late-Stage
2025,3,USA,SaaS_Enterprise,14200,136,104,100,Slack,Late-Stage
2025,4,USA,SaaS_Enterprise,15000,140,107,100,Slack,Late-Stage
2026,1,USA,SaaS_Enterprise,15500,142,109,100,Slack,Late-Stage
2026,2,USA,SaaS_Enterprise,16000,145,110,100,Slack,Late-Stage
2026,3,USA,SaaS_Enterprise,15800,143,110,100,Slack,Late-Stage
2026,4,USA,SaaS_Enterprise,16500,148,111,100,Slack,Late-Stage
2027,1,USA,SaaS_Enterprise,17000,150,113,100,Slack,Late-Stage
2027,2,USA,SaaS_Enterprise,17500,152,115,100,Slack,Late-Stage
2027,3,USA,SaaS_Enterprise,17200,151,114,100,Slack,Late-Stage
2027,4,USA,SaaS_Enterprise,18000,155,116,100,Slack,Late-Stage
2010,1,China,SaaS_Enterprise,20,3,7,4,Alibaba_Cloud,Early-Stage
2010,2,China,SaaS_Enterprise,22,3,7,4,Alibaba_Cloud,Early-Stage
2010,3,China,SaaS_Enterprise,18,2,9,3,Alibaba_Cloud,Early-Stage
2010,4,China,SaaS_Enterprise,25,4,6,5,Alibaba_Cloud,Early-Stage
2011,1,China,SaaS_Enterprise,30,5,6,6,Alibaba_Cloud,Early-Stage
2011,2,China,SaaS_Enterprise,35,5,7,8,Alibaba_Cloud,Early-Stage
2011,3,China,SaaS_Enterprise,32,5,6,7,Alibaba_Cloud,Early-Stage
2011,4,China,SaaS_Enterprise,40,6,7,10,Alibaba_Cloud,Early-Stage
2012,1,China,SaaS_Enterprise,50,7,7,12,Alibaba_Cloud,Early-Stage
2012,2,China,SaaS_Enterprise,60,8,8,15,Alibaba_Cloud,Early-Stage
2012,3,China,SaaS_Enterprise,55,7,8,13,Alibaba_Cloud,Early-Stage
2012,4,China,SaaS_Enterprise,70,9,8,18,Alibaba_Cloud,Early-Stage
2013,1,China,SaaS_Enterprise,80,10,8,20,Alibaba_Cloud,Early-Stage
2013,2,China,SaaS_Enterprise,90,11,8,22,Alibaba_Cloud,Early-Stage
2013,3,China,SaaS_Enterprise,85,10,9,21,Alibaba_Cloud,Early-Stage
2013,4,China,SaaS_Enterprise,100,12,8,25,Alibaba_Cloud,Growth
2014,1,China,SaaS_Enterprise,120,15,8,28,Alibaba_Cloud,Growth
2014,2,China,SaaS_Enterprise,140,18,8,30,Alibaba_Cloud,Growth
2014,3,China,SaaS_Enterprise,130,16,8,29,Alibaba_Cloud,Growth
2014,4,China,SaaS_Enterprise,160,20,8,32,Alibaba_Cloud,Growth
2015,1,China,SaaS_Enterprise,190,25,8,35,Alibaba_Cloud,Growth
2015,2,China,SaaS_Enterprise,220,28,8,38,Alibaba_Cloud,Growth
2015,3,China,SaaS_Enterprise,200,26,8,36,Alibaba_Cloud,Growth
2015,4,China,SaaS_Enterprise,250,30,8,40,Alibaba_Cloud,Growth
2016,1,China,SaaS_Enterprise,300,35,9,45,Alibaba_Cloud,Growth
2016,2,China,SaaS_Enterprise,350,38,9,50,Alibaba_Cloud,Growth
2016,3,China,SaaS_Enterprise,320,36,9,48,Alibaba_Cloud,Growth
2016,4,China,SaaS_Enterprise,400,40,10,55,Alibaba_Cloud,Late-Stage
2017,1,China,SaaS_Enterprise,450,45,10,58,Alibaba_Cloud,Late-Stage
2017,2,China,SaaS_Enterprise,500,48,10,60,Alibaba_Cloud,Late-Stage
2017,3,China,SaaS_Enterprise,480,46,10,59,Alibaba_Cloud,Late-Stage
2017,4,China,SaaS_Enterprise,550,50,11,62,Alibaba_Cloud,Late-Stage
2018,1,China,SaaS_Enterprise,600,55,11,65,Alibaba_Cloud,Late-Stage
2018,2,China,SaaS_Enterprise,680,58,12,68,Alibaba_Cloud,Late-Stage
2018,3,China,SaaS_Enterprise,640,56,11,66,Alibaba_Cloud,Late-Stage
2018,4,China,SaaS_Enterprise,750,60,13,70,Alibaba_Cloud,Late-Stage
2019,1,China,SaaS_Enterprise,850,65,13,72,Alibaba_Cloud,Late-Stage
2019,2,China,SaaS_Enterprise,950,68,14,75,Alibaba_Cloud,Late-Stage
2019,3,China,SaaS_Enterprise,900,66,14,73,Alibaba_Cloud,Late-Stage
2019,4,China,SaaS_Enterprise,1000,70,14,78,Alibaba_Cloud,Late-Stage
2020,1,China,SaaS_Enterprise,1100,72,15,80,Alibaba_Cloud,Late-Stage
2020,2,China,SaaS_Enterprise,1200,75,16,82,Alibaba_Cloud,Late-Stage
2020,3,China,SaaS_Enterprise,1150,73,16,81,Alibaba_Cloud,Late-Stage
2020,4,China,SaaS_Enterprise,1300,78,17,85,Alibaba_Cloud,Late-Stage
2021,1,China,SaaS_Enterprise,1400,80,18,86,Alibaba_Cloud,Late-Stage
2021,2,China,SaaS_Enterprise,1500,82,18,88,Alibaba_Cloud,Late-Stage
2021,3,China,SaaS_Enterprise,1450,81,18,87,Alibaba_Cloud,Late-Stage
2021,4,China,SaaS_Enterprise,1600,85,19,90,Alibaba_Cloud,Late-Stage
2022,1,China,SaaS_Enterprise,1700,88,19,91,Alibaba_Cloud,Late-Stage
2022,2,China,SaaS_Enterprise,1800,90,20,92,Alibaba_Cloud,Late-Stage
2022,3,China,SaaS_Enterprise,1750,89,20,91,Alibaba_Cloud,Late-Stage
2022,4,China,SaaS_Enterprise,1900,92,21,93,Alibaba_Cloud,Late-Stage
2023,1,China,SaaS_Enterprise,2000,95,21,94,Alibaba_Cloud,Late-Stage
2023,2,China,SaaS_Enterprise,2100,98,21,95,Alibaba_Cloud,Late-Stage
2023,3,China,SaaS_Enterprise,2050,96,21,94,Alibaba_Cloud,Late-Stage
2023,4,China,SaaS_Enterprise,2200,100,22,96,Alibaba_Cloud,Late-Stage
2024,1,China,SaaS_Enterprise,2300,102,23,96,Alibaba_Cloud,Late-Stage
2024,2,China,SaaS_Enterprise,2400,105,23,97,Alibaba_Cloud,Late-Stage
2024,3,China,SaaS_Enterprise,2350,103,23,96,Alibaba_Cloud,Late-Stage
2024,4,China,SaaS_Enterprise,2500,108,23,98,Alibaba_Cloud,Late-Stage
2025,1,China,SaaS_Enterprise,2600,110,24,98,Alibaba_Cloud,Late-Stage
2025,2,China,SaaS_Enterprise,2700,112,24,98,Alibaba_Cloud,Late-Stage
2025,3,China,SaaS_Enterprise,2650,111,24,98,Alibaba_Cloud,Late-Stage
2025,4,China,SaaS_Enterprise,2800,115,24,99,Alibaba_Cloud,Late-Stage
2026,1,China,SaaS_Enterprise,2900,118,25,99,Alibaba_Cloud,Late-Stage
2026,2,China,SaaS_Enterprise,3000,120,25,99,Alibaba_Cloud,Late-Stage
2026,3,China,SaaS_Enterprise,2950,119,25,99,Alibaba_Cloud,Late-Stage
2026,4,China,SaaS_Enterprise,3100,122,25,100,Alibaba_Cloud,Late-Stage
2027,1,China,SaaS_Enterprise,3200,125,26,100,Alibaba_Cloud,Late-Stage
2027,2,China,SaaS_Enterprise,3300,128,26,100,Alibaba_Cloud,Late-Stage
2027,3,China,SaaS_Enterprise,3250,126,26,100,Alibaba_Cloud,Late-Stage
2027,4,China,SaaS_Enterprise,3400,130,26,100,Alibaba_Cloud,Late-Stage
2010,1,India,SaaS_Enterprise,5,1,5,1,Zoho,Early-Stage
2010,2,India,SaaS_Enterprise,6,1,6,1,Zoho,Early-Stage
2010,3,India,SaaS_Enterprise,4,1,4,1,Zoho,Early-Stage
2010,4,India,SaaS_Enterprise,8,2,4,2,Zoho,Early-Stage
2011,1,India,SaaS_Enterprise,10,2,5,3,Zoho,Early-Stage
2011,2,India,SaaS_Enterprise,12,2,6,4,Zoho,Early-Stage
2011,3,India,SaaS_Enterprise,10,2,5,3,Zoho,Early-Stage
2011,4,India,SaaS_Enterprise,15,3,5,5,Zoho,Early-Stage
2012,1,India,SaaS_Enterprise,18,4,5,6,Zoho,Early-Stage
2012,2,India,SaaS_Enterprise,22,4,6,8,Zoho,Early-Stage
2012,3,India,SaaS_Enterprise,20,4,5,7,Zoho,Early-Stage
2012,4,India,SaaS_Enterprise,25,5,5,9,Zoho,Early-Stage
2013,1,India,SaaS_Enterprise,30,6,5,10,Zoho,Early-Stage
2013,2,India,SaaS_Enterprise,35,7,5,12,Zoho,Early-Stage
2013,3,India,SaaS_Enterprise,32,6,5,11,Zoho,Early-Stage
2013,4,India,SaaS_Enterprise,40,8,5,14,Zoho,Early-Stage
2014,1,India,SaaS_Enterprise,45,9,5,15,Zoho,Early-Stage
2014,2,India,SaaS_Enterprise,50,10,5,16,Zoho,Early-Stage
2014,3,India,SaaS_Enterprise,48,9,5,15,Zoho,Early-Stage
2014,4,India,SaaS_Enterprise,55,11,5,18,Zoho,Early-Stage
2015,1,India,SaaS_Enterprise,65,13,5,20,Zoho,Early-Stage
2015,2,India,SaaS_Enterprise,75,15,5,22,Zoho,Early-Stage
2015,3,India,SaaS_Enterprise,70,14,5,21,Zoho,Early-Stage
2015,4,India,SaaS_Enterprise,85,17,5,25,Zoho,Growth
2016,1,India,SaaS_Enterprise,100,20,5,28,Zoho,Growth
2016,2,India,SaaS_Enterprise,120,24,5,32,Zoho,Growth
2016,3,India,SaaS_Enterprise,110,22,5,30,Zoho,Growth
2016,4,India,SaaS_Enterprise,140,28,5,35,Zoho,Growth
2017,1,India,SaaS_Enterprise,160,32,5,38,Zoho,Growth
2017,2,India,SaaS_Enterprise,180,36,5,42,Zoho,Growth
2017,3,India,SaaS_Enterprise,170,34,5,40,Zoho,Growth
2017,4,India,SaaS_Enterprise,200,40,5,45,Zoho,Growth
2018,1,India,SaaS_Enterprise,240,45,5,50,Freshworks,Growth
2018,2,India,SaaS_Enterprise,280,50,6,55,Freshworks,Growth
2018,3,India,SaaS_Enterprise,260,48,5,52,Freshworks,Growth
2018,4,India,SaaS_Enterprise,320,55,6,58,Freshworks,Late-Stage
2019,1,India,SaaS_Enterprise,380,60,6,62,Freshworks,Late-Stage
2019,2,India,SaaS_Enterprise,450,65,7,65,Freshworks,Late-Stage
2019,3,India,SaaS_Enterprise,420,62,7,63,Freshworks,Late-Stage
2019,4,India,SaaS_Enterprise,500,70,7,68,Freshworks,Late-Stage
2020,1,India,SaaS_Enterprise,550,72,8,70,Freshworks,Late-Stage
2020,2,India,SaaS_Enterprise,600,75,8,72,Freshworks,Late-Stage
2020,3,India,SaaS_Enterprise,580,73,8,71,Freshworks,Late-Stage
2020,4,India,SaaS_Enterprise,650,78,8,75,Freshworks,Late-Stage
2021,1,India,SaaS_Enterprise,750,82,9,78,Freshworks,Late-Stage
2021,2,India,SaaS_Enterprise,850,86,10,80,Freshworks,Late-Stage
2021,3,India,SaaS_Enterprise,800,84,10,79,Freshworks,Late-Stage
2021,4,India,SaaS_Enterprise,950,90,11,82,Freshworks,Late-Stage
2022,1,India,SaaS_Enterprise,1100,92,12,85,Freshworks,Late-Stage
2022,2,India,SaaS_Enterprise,1200,95,13,88,Freshworks,Late-Stage
2022,3,India,SaaS_Enterprise,1150,93,12,86,Freshworks,Late-Stage
2022,4,India,SaaS_Enterprise,1300,98,13,90,Freshworks,Late-Stage
2023,1,India,SaaS_Enterprise,1400,100,14,92,Freshworks,Late-Stage
2023,2,India,SaaS_Enterprise,1500,102,15,94,Freshworks,Late-Stage
2023,3,India,SaaS_Enterprise,1450,101,14,93,Freshworks,Late-Stage
2023,4,India,SaaS_Enterprise,1600,105,15,95,Freshworks,Late-Stage
2024,1,India,SaaS_Enterprise,1700,108,16,96,Freshworks,Late-Stage
2024,2,India,SaaS_Enterprise,1800,110,16,97,Freshworks,Late-Stage
2024,3,India,SaaS_Enterprise,1750,109,16,96,Freshworks,Late-Stage
2024,4,India,SaaS_Enterprise,1900,112,17,98,Freshworks,Late-Stage
2025,1,India,SaaS_Enterprise,2000,115,17,98,Freshworks,Late-Stage
2025,2,India,SaaS_Enterprise,2100,118,18,99,Freshworks,Late-Stage
2025,3,India,SaaS_Enterprise,2050,116,18,98,Freshworks,Late-Stage
2025,4,India,SaaS_Enterprise,2200,120,18,99,Freshworks,Late-Stage
2026,1,India,SaaS_Enterprise,2300,122,19,99,Freshworks,Late-Stage
2026,2,India,SaaS_Enterprise,2400,125,19,100,Freshworks,Late-Stage
2026,3,India,SaaS_Enterprise,2350,123,19,99,Freshworks,Late-Stage
2026,4,India,SaaS_Enterprise,2500,128,20,100,Freshworks,Late-Stage
2027,1,India,SaaS_Enterprise,2600,130,20,100,Freshworks,Late-Stage
2027,2,India,SaaS_Enterprise,2700,132,20,100,Freshworks,Late-Stage
2027,3,India,SaaS_Enterprise,2650,131,20,100,Freshworks,Late-Stage
2027,4,India,SaaS_Enterprise,2800,135,21,100,Freshworks,Late-Stage
2010,1,USA,EVs_Automotive,50,4,13,5,Tesla,Early-Stage
2010,2,USA,EVs_Automotive,60,5,12,6,Tesla,Early-Stage
2010,3,USA,EVs_Automotive,45,4,11,4,Tesla,Early-Stage
2010,4,USA,EVs_Automotive,70,5,14,8,Tesla,Early-Stage
2011,1,USA,EVs_Automotive,80,6,13,10,Tesla,Early-Stage
2011,2,USA,EVs_Automotive,90,7,13,12,Tesla,Early-Stage
2011,3,USA,EVs_Automotive,85,6,14,11,Tesla,Early-Stage
2011,4,USA,EVs_Automotive,100,8,13,15,Tesla,Early-Stage
2012,1,USA,EVs_Automotive,120,10,12,18,Tesla,Early-Stage
2012,2,USA,EVs_Automotive,140,11,13,20,Tesla,Early-Stage
2012,3,USA,EVs_Automotive,130,10,13,19,Tesla,Early-Stage
2012,4,USA,EVs_Automotive,160,12,13,22,Tesla,Growth
2013,1,USA,EVs_Automotive,200,14,14,25,Tesla,Growth
2013,2,USA,EVs_Automotive,240,16,15,28,Tesla,Growth
2013,3,USA,EVs_Automotive,220,15,15,26,Tesla,Growth
2013,4,USA,EVs_Automotive,280,18,16,30,Tesla,Growth
2014,1,USA,EVs_Automotive,350,20,18,35,Tesla,Growth
2014,2,USA,EVs_Automotive,400,22,18,38,Tesla,Growth
2014,3,USA,EVs_Automotive,380,21,18,36,Tesla,Growth
2014,4,USA,EVs_Automotive,450,24,19,40,Tesla,Growth
2015,1,USA,EVs_Automotive,550,28,20,45,Tesla,Growth
2015,2,USA,EVs_Automotive,650,30,22,50,Tesla,Growth
2015,3,USA,EVs_Automotive,600,29,21,48,Tesla,Growth
2015,4,USA,EVs_Automotive,750,32,23,55,Tesla,Late-Stage
2016,1,USA,EVs_Automotive,850,35,24,58,Tesla,Late-Stage
2016,2,USA,EVs_Automotive,1000,38,26,62,Tesla,Late-Stage
2016,3,USA,EVs_Automotive,950,36,26,60,Tesla,Late-Stage
2016,4,USA,EVs_Automotive,1200,40,30,65,Tesla,Late-Stage
2017,1,USA,EVs_Automotive,1400,42,33,68,Tesla,Late-Stage
2017,2,USA,EVs_Automotive,1600,45,36,72,Tesla,Late-Stage
2017,3,USA,EVs_Automotive,1500,43,35,70,Tesla,Late-Stage
2017,4,USA,EVs_Automotive,1800,48,38,75,Tesla,Late-Stage
2018,1,USA,EVs_Automotive,2000,50,40,78,Tesla,Late-Stage
2018,2,USA,EVs_Automotive,2200,52,42,80,Tesla,Late-Stage
2018,3,USA,EVs_Automotive,2100,51,41,79,Tesla,Late-Stage
2018,4,USA,EVs_Automotive,2500,55,45,82,Tesla,Late-Stage
2019,1,USA,EVs_Automotive,2800,58,48,85,Tesla,Late-Stage
2019,2,USA,EVs_Automotive,3200,60,53,88,Tesla,Late-Stage
2019,3,USA,EVs_Automotive,3000,59,51,86,Tesla,Late-Stage
2019,4,USA,EVs_Automotive,3500,62,56,90,Tesla,Late-Stage
2020,1,USA,EVs_Automotive,4000,65,62,92,Tesla,Late-Stage
2020,2,USA,EVs_Automotive,4500,68,66,94,Tesla,Late-Stage
2020,3,USA,EVs_Automotive,4200,66,64,93,Tesla,Late-Stage
2020,4,USA,EVs_Automotive,5000,70,71,96,Tesla,Late-Stage
2021,1,USA,EVs_Automotive,5500,72,76,97,Tesla,Late-Stage
2021,2,USA,EVs_Automotive,6000,75,80,98,Tesla,Late-Stage
2021,3,USA,EVs_Automotive,5800,73,79,97,Tesla,Late-Stage
2021,4,USA,EVs_Automotive,6500,78,83,99,Tesla,Late-Stage
2022,1,USA,EVs_Automotive,7000,80,88,99,Tesla,Late-Stage
2022,2,USA,EVs_Automotive,7500,82,91,100,Tesla,Late-Stage
2022,3,USA,EVs_Automotive,7200,81,89,99,Tesla,Late-Stage
2022,4,USA,EVs_Automotive,8000,85,94,100,Tesla,Late-Stage
2023,1,USA,EVs_Automotive,8500,88,97,100,Tesla,Late-Stage
2023,2,USA,EVs_Automotive,9000,90,100,100,Tesla,Late-Stage
2023,3,USA,EVs_Automotive,8800,89,99,100,Tesla,Late-Stage
2023,4,USA,EVs_Automotive,9500,92,103,100,Tesla,Late-Stage
2024,1,USA,EVs_Automotive,10000,95,105,100,Tesla,Late-Stage
2024,2,USA,EVs_Automotive,10500,98,107,100,Tesla,Late-Stage
2024,3,USA,EVs_Automotive,10200,96,106,100,Tesla,Late-Stage
2024,4,USA,EVs_Automotive,11000,100,110,100,Tesla,Late-Stage
2025,1,USA,EVs_Automotive,11500,102,113,100,Tesla,Late-Stage
2025,2,USA,EVs_Automotive,12000,105,114,100,Tesla,Late-Stage
2025,3,USA,EVs_Automotive,11800,103,115,100,Tesla,Late-Stage
2025,4,USA,EVs_Automotive,12500,108,116,100,Tesla,Late-Stage
2026,1,USA,EVs_Automotive,13000,110,118,100,Tesla,Late-Stage
2026,2,USA,EVs_Automotive,13500,112,121,100,Tesla,Late-Stage
2026,3,USA,EVs_Automotive,13200,111,119,100,Tesla,Late-Stage
2026,4,USA,EVs_Automotive,14000,115,122,100,Tesla,Late-Stage
2027,1,USA,EVs_Automotive,14500,118,123,100,Tesla,Late-Stage
2027,2,USA,EVs_Automotive,15000,120,125,100,Tesla,Late-Stage
2027,3,USA,EVs_Automotive,14800,119,124,100,Tesla,Late-Stage
2027,4,USA,EVs_Automotive,15500,122,127,100,Tesla,Late-Stage
2010,1,China,EVs_Automotive,8,2,4,2,BYD,Early-Stage
2010,2,China,EVs_Automotive,10,2,5,3,BYD,Early-Stage
2010,3,China,EVs_Automotive,6,1,6,2,BYD,Early-Stage
2010,4,China,EVs_Automotive,12,3,4,4,BYD,Early-Stage
2011,1,China,EVs_Automotive,15,3,5,5,BYD,Early-Stage
2011,2,China,EVs_Automotive,18,4,5,6,BYD,Early-Stage
2011,3,China,EVs_Automotive,14,3,5,5,BYD,Early-Stage
2011,4,China,EVs_Automotive,20,4,5,8,BYD,Early-Stage
2012,1,China,EVs_Automotive,25,5,5,10,BYD,Early-Stage
2012,2,China,EVs_Automotive,30,6,5,12,BYD,Early-Stage
2012,3,China,EVs_Automotive,28,5,6,11,BYD,Early-Stage
2012,4,China,EVs_Automotive,35,7,5,14,BYD,Early-Stage
2013,1,China,EVs_Automotive,40,8,5,16,BYD,Early-Stage
2013,2,China,EVs_Automotive,45,9,5,18,BYD,Early-Stage
2013,3,China,EVs_Automotive,42,8,5,17,BYD,Early-Stage
2013,4,China,EVs_Automotive,50,10,5,20,BYD,Early-Stage
2014,1,China,EVs_Automotive,60,12,5,22,BYD,Early-Stage
2014,2,China,EVs_Automotive,70,14,5,25,BYD,Early-Stage
2014,3,China,EVs_Automotive,65,13,5,23,BYD,Early-Stage
2014,4,China,EVs_Automotive,80,16,5,28,BYD,Growth
2015,1,China,EVs_Automotive,100,20,5,30,BYD,Growth
2015,2,China,EVs_Automotive,120,24,5,35,BYD,Growth
2015,3,China,EVs_Automotive,110,22,5,32,BYD,Growth
2015,4,China,EVs_Automotive,140,28,5,38,BYD,Growth
2016,1,China,EVs_Automotive,180,32,6,42,BYD,Growth
2016,2,China,EVs_Automotive,220,36,6,45,BYD,Growth
2016,3,China,EVs_Automotive,200,34,6,43,BYD,Growth
2016,4,China,EVs_Automotive,260,40,7,48,BYD,Growth
2017,1,China,EVs_Automotive,320,45,7,52,NIO,Growth
2017,2,China,EVs_Automotive,380,50,8,55,NIO,Growth
2017,3,China,EVs_Automotive,350,48,7,53,NIO,Growth
2017,4,China,EVs_Automotive,450,55,8,58,NIO,Late-Stage
2018,1,China,EVs_Automotive,520,60,9,60,NIO,Late-Stage
2018,2,China,EVs_Automotive,600,65,9,62,NIO,Late-Stage
2018,3,China,EVs_Automotive,560,62,9,61,NIO,Late-Stage
2018,4,China,EVs_Automotive,680,70,10,65,NIO,Late-Stage
2019,1,China,EVs_Automotive,750,75,10,68,NIO,Late-Stage
2019,2,China,EVs_Automotive,820,78,11,70,NIO,Late-Stage
2019,3,China,EVs_Automotive,780,76,10,69,NIO,Late-Stage
2019,4,China,EVs_Automotive,900,82,11,72,NIO,Late-Stage
2020,1,China,EVs_Automotive,1000,85,12,75,NIO,Late-Stage
2020,2,China,EVs_Automotive,1100,88,13,78,NIO,Late-Stage
2020,3,China,EVs_Automotive,1050,86,12,76,NIO,Late-Stage
2020,4,China,EVs_Automotive,1200,90,13,80,NIO,Late-Stage
2021,1,China,EVs_Automotive,1400,95,15,82,NIO,Late-Stage
2021,2,China,EVs_Automotive,1600,100,16,85,NIO,Late-Stage
2021,3,China,EVs_Automotive,1500,98,15,83,NIO,Late-Stage
2021,4,China,EVs_Automotive,1800,105,17,88,NIO,Late-Stage
2022,1,China,EVs_Automotive,2000,110,18,90,NIO,Late-Stage
2022,2,China,EVs_Automotive,2200,115,19,92,NIO,Late-Stage
2022,3,China,EVs_Automotive,2100,112,19,91,NIO,Late-Stage
